PLAYER_NAME,PLAYER_ID,FG_PCT,FT_PCT,3PM,PTS,REB,AST,STL,BLK,TOV
Reggie Jackson,202704,0.41075,0.8682500000000001,73.5,554.75,110.75,193.5,34.5,6.25,84.0
Andre Jackson Jr.,1641748,0.5,0.727,17.0,125.0,113.0,50.0,16.0,6.0,28.0
Jaren Jackson Jr.,1628991,0.475,0.798,108.5,1329.5,395.5,107.0,72.5,147.5,133.5
Trayce Jackson-Davis,1631218,0.702,0.561,0.0,540.0,341.0,82.0,29.0,76.0,49.0
Bronny James,1642355,,,,,,,,,
LeBron James,2544,0.52,0.759,135.0,1706.0,487.5,482.0,69.5,35.0,211.5
Jaime Jaquez Jr.,1631170,0.489,0.811,65.0,889.0,285.0,195.0,77.0,20.0,110.0
DaQuan Jeffries,1629610,0.353,0.0,2.0,14.0,5.0,5.0,0.0,1.0,3.0
Trey Jemison,1641998,0.36733333333333335,0.5599999999999999,0.0,114.0,89.33333333333333,18.0,8.0,18.666666666666668,22.666666666666668
Daniss Jenkins,1642450,,,,,,,,,
Ty Jerome,1629660,0.494,0.4635,17.5,156.5,39.5,69.0,11.5,2.5,15.5
Isaiah Joe,1630198,0.4495,0.8425,154.0,663.5,177.5,93.5,47.0,15.0,43.0
AJ Johnson,1642358,,,,,,,,,
Cameron Johnson,1629661,0.46449999999999997,0.8250000000000001,86.0,519.0,155.25,73.5,37.25,10.75,32.75
Jalen Johnson,1630552,0.501,0.6779999999999999,50.5,645.5,385.0,143.0,52.5,40.5,71.0
James Johnson,201949,0.3745,0.75,1.5,29.5,17.0,11.5,6.0,3.5,6.5
Keldon Johnson,1629640,0.453,0.7705,130.5,1234.5,347.5,189.0,48.5,15.5,117.0
Keon Johnson,1630553,0.3785,0.788,16.0,110.0,25.5,31.0,11.0,3.5,24.0
Keshad Johnson,1642352,,,,,,,,,
Nikola Jokić,203999,0.6074999999999999,0.8194999999999999,70.0,1887.5,896.5,693.0,97.5,57.5,242.0
Colby Jones,1641732,0.394,0.545,2.0,64.0,40.0,20.0,7.0,5.0,10.0
Dillon Jones,1641794,,,,,,,,,
Herbert Jones,1630529,0.4835,0.8155,85.0,743.0,270.5,180.5,104.0,52.0,90.5
Isaac Jones,1642403,,,,,,,,,
Kai Jones,1630539,0.558,0.731,4.0,157.0,123.0,15.0,17.0,30.0,31.0
Mason Jones,1630222,0.25,0.5,2.0,7.0,5.0,5.0,1.0,0.0,2.0
Spencer Jones,1642461,,,,,,,,,
Tre Jones,1630200,0.482,0.858,54.5,823.0,267.0,463.0,83.5,9.0,113.0
Tyus Jones,1626145,0.4635,0.8,113.5,806.5,189.5,451.0,77.0,12.0,70.0
Derrick Jones Jr.,1627884,0.4915,0.7255,54.5,488.0,201.5,54.5,41.0,44.0,45.0
DeAndre Jordan,201599,0.6945,0.47450000000000003,0.5,170.5,179.5,30.0,9.0,19.5,35.5
Cory Joseph,202709,0.393,0.6815,41.5,245.0,68.0,129.5,19.0,6.0,34.0
Nikola Jović,1631107,0.42900000000000005,0.8245,36.5,217.0,111.5,50.0,16.0,8.0,26.0
Johnny Juzang,1630548,0.4005,0.607,23.5,115.5,37.5,15.5,4.0,2.5,8.0
Yuki Kawamura,1642530,,,,,,,,,
Luke Kennard,1628379,0.4825,0.9337499999999999,93.25,380.25,107.25,79.5,21.0,3.0,36.5
Walker Kessler,1631117,0.687,0.5589999999999999,2.5,598.5,550.5,64.5,28.0,163.5,62.0
Corey Kispert,1630557,0.4915,0.7889999999999999,173.5,945.0,216.0,121.5,36.5,12.5,76.5
Maxi Kleber,1628467,0.444,0.7064999999999999,35.5,205.5,139.0,60.0,14.5,30.0,27.5
Bobi Klintman,1641752,,,,,,,,,
